"","ant.Oct.Eri.P","ant.Nov.Eri.P","ant.Dec.Eri.P","for.Jan.Eri.P","for.Feb.Eri.P","for.Mar.Eri.P","for.Apr.Eri.P","for.May.Eri.P","for.Jun.Eri.P","for.Jul.Eri.P","for.Aug.Eri.P","for.Sep.Eri.P","for.Oct.Eri.P","for.Nov.Eri.P","for.Dec.Eri.P","ant.Oct.Eri.E","ant.Nov.Eri.E","ant.Dec.Eri.E","for.Jan.Eri.E","for.Feb.Eri.E","for.Mar.Eri.E","for.Apr.Eri.E","for.May.Eri.E","for.Jun.Eri.E","for.Jul.Eri.E","for.Aug.Eri.E","for.Sep.Eri.E","for.Oct.Eri.E","for.Nov.Eri.E","for.Dec.Eri.E","ant.Oct.Eri.R","ant.Nov.Eri.R","ant.Dec.Eri.R","for.Jan.Eri.R","for.Feb.Eri.R","for.Mar.Eri.R","for.Apr.Eri.R","for.May.Eri.R","for.Jun.Eri.R","for.Jul.Eri.R","for.Aug.Eri.R","for.Sep.Eri.R","for.Oct.Eri.R","for.Nov.Eri.R","for.Dec.Eri.R","ant.Oct.Ont.P","ant.Nov.Ont.P","ant.Dec.Ont.P","for.Jan.Ont.P","for.Feb.Ont.P","for.Mar.Ont.P","for.Apr.Ont.P","for.May.Ont.P","for.Jun.Ont.P","for.Jul.Ont.P","for.Aug.Ont.P","for.Sep.Ont.P","for.Oct.Ont.P","for.Nov.Ont.P","for.Dec.Ont.P","ant.Oct.Ont.E","ant.Nov.Ont.E","ant.Dec.Ont.E","for.Jan.Ont.E","for.Feb.Ont.E","for.Mar.Ont.E","for.Apr.Ont.E","for.May.Ont.E","for.Jun.Ont.E","for.Jul.Ont.E","for.Aug.Ont.E","for.Sep.Ont.E","for.Oct.Ont.E","for.Nov.Ont.E","for.Dec.Ont.E","ant.Oct.Ont.R","ant.Nov.Ont.R","ant.Dec.Ont.R","for.Jan.Ont.R","for.Feb.Ont.R","for.Mar.Ont.R","for.Apr.Ont.R","for.May.Ont.R","for.Jun.Ont.R","for.Jul.Ont.R","for.Aug.Ont.R","for.Sep.Ont.R","for.Oct.Ont.R","for.Nov.Ont.R","for.Dec.Ont.R","ant.Oct.MiH.P","ant.Nov.MiH.P","ant.Dec.MiH.P","for.Jan.MiH.P","for.Feb.MiH.P","for.Mar.MiH.P","for.Apr.MiH.P","for.May.MiH.P","for.Jun.MiH.P","for.Jul.MiH.P","for.Aug.MiH.P","for.Sep.MiH.P","for.Oct.MiH.P","for.Nov.MiH.P","for.Dec.MiH.P","ant.Oct.MiH.E","ant.Nov.MiH.E","ant.Dec.MiH.E","for.Jan.MiH.E","for.Feb.MiH.E","for.Mar.MiH.E","for.Apr.MiH.E","for.May.MiH.E","for.Jun.MiH.E","for.Jul.MiH.E","for.Aug.MiH.E","for.Sep.MiH.E","for.Oct.MiH.E","for.Nov.MiH.E","for.Dec.MiH.E","ant.Oct.MiH.R","ant.Nov.MiH.R","ant.Dec.MiH.R","for.Jan.MiH.R","for.Feb.MiH.R","for.Mar.MiH.R","for.Apr.MiH.R","for.May.MiH.R","for.Jun.MiH.R","for.Jul.MiH.R","for.Aug.MiH.R","for.Sep.MiH.R","for.Oct.MiH.R","for.Nov.MiH.R","for.Dec.MiH.R","ant.Oct.Sup.P","ant.Nov.Sup.P","ant.Dec.Sup.P","for.Jan.Sup.P","for.Feb.Sup.P","for.Mar.Sup.P","for.Apr.Sup.P","for.May.Sup.P","for.Jun.Sup.P","for.Jul.Sup.P","for.Aug.Sup.P","for.Sep.Sup.P","for.Oct.Sup.P","for.Nov.Sup.P","for.Dec.Sup.P","ant.Oct.Sup.E","ant.Nov.Sup.E","ant.Dec.Sup.E","for.Jan.Sup.E","for.Feb.Sup.E","for.Mar.Sup.E","for.Apr.Sup.E","for.May.Sup.E","for.Jun.Sup.E","for.Jul.Sup.E","for.Aug.Sup.E","for.Sep.Sup.E","for.Oct.Sup.E","for.Nov.Sup.E","for.Dec.Sup.E","ant.Oct.Sup.R","ant.Nov.Sup.R","ant.Dec.Sup.R","for.Jan.Sup.R","for.Feb.Sup.R","for.Mar.Sup.R","for.Apr.Sup.R","for.May.Sup.R","for.Jun.Sup.R","for.Jul.Sup.R","for.Aug.Sup.R","for.Sep.Sup.R","for.Oct.Sup.R","for.Nov.Sup.R","for.Dec.Sup.R","ant.Oct.StC.P","ant.Nov.StC.P","ant.Dec.StC.P","for.Jan.StC.P","for.Feb.StC.P","for.Mar.StC.P","for.Apr.StC.P","for.May.StC.P","for.Jun.StC.P","for.Jul.StC.P","for.Aug.StC.P","for.Sep.StC.P","for.Oct.StC.P","for.Nov.StC.P","for.Dec.StC.P","ant.Oct.StC.E","ant.Nov.StC.E","ant.Dec.StC.E","for.Jan.StC.E","for.Feb.StC.E","for.Mar.StC.E","for.Apr.StC.E","for.May.StC.E","for.Jun.StC.E","for.Jul.StC.E","for.Aug.StC.E","for.Sep.StC.E","for.Oct.StC.E","for.Nov.StC.E","for.Dec.StC.E","ant.Oct.StC.R","ant.Nov.StC.R","ant.Dec.StC.R","for.Jan.StC.R","for.Feb.StC.R","for.Mar.StC.R","for.Apr.StC.R","for.May.StC.R","for.Jun.StC.R","for.Jul.StC.R","for.Aug.StC.R","for.Sep.StC.R","for.Oct.StC.R","for.Nov.StC.R","for.Dec.StC.R"
"1",70.74,122.8,58.24,63.27,73.85,95.77,78.85,68.93,96.32,71.42,38.55,61.95,71.37,90.5,101.29,138.889964,179.046003,91.221128,39.184466,19.722473,19.186683,5.91984,15.757752,36.227687,77.171118,116.019164,152.946823,144.396555,153.833221,76.651273,22.08,63.33,126.71,154.48,189.06,187.1,148.77,79.54,32.89,24.93,8.58,11.54,25.4,85.41,89.96,69.83,110.98,55.84,70.26,77.03,97.91,103.99,38.32,84.95,106.66,52.85,66.41,40.76,78.66,95.25,57.889,95.91,101.78,79.106,37.632,41.684,6.3118,2.2015,15.831,47.371,73.311,96.801,66.773,107.31,107.53,65.8,130.9,185.9,197.8,196.6,314.9,371.9,155.1,88.4,96.4,45.2,51,46.4,114.3,135.1,39.87,79.42,60.01,57.9,59.17,80.01,92.6,50.27,74.32,95.17,77.28,90.13,118.59,72.99,71.42,37.882298,109.535581,97.670529,49.936458,24.840611,24.526647,0.144482,-1.734217,-1.118083,-2.411112,23.725161,70.5771,55.568131,102.297299,96.97242,25.4,31.7,46.8,52.2,50.7,85.8,178.8,94.8,47,51,32.9,31.3,59.8,80.6,58.6,72.63,93.92,50.47,30.8,64.68,78.7,56.54,44.03,102.97,51.07,106.45,125.17,78.06,56.45,45.82,25.049633,83.952862,92.369873,48.22275,4.354702,11.787202,4.104288,0.529623,-4.077885,-3.436599,-0.06993,30.999653,45.086695,95.777931,76.326719,35.67,27.31,16.42,13.86,18.08,21.02,104.6,106.89,61.69,39.08,30.24,44.47,46.71,42.34,30.99,69.53,102.63,58.78,68.06,61.59,72.82,61.7,55.75,82.29,62.07,46.24,52.81,81.97,70.43,87.62,78.5957,49.0744,32.0329,40.3491,35.0805,35.9301,48.9493,101.4918,155.9231,180.272,168.4165,148.8135,80.728,41.809,35.992,66.1,301.72,607.83,573.05,776.93,931.24,707.75,138.53,74.79,60.05,45.66,38.54,83.66,185.87,116.08
"2",71.37,90.5,101.29,99.85,52.37,77.71,75.3,89,35.24,57.1,68.55,70.37,23.74,58.39,58.02,144.396555,153.833221,76.651273,24.251186,13.707921,16.327441,3.740015,19.687489,29.961532,86.511652,105.021224,148.821465,210.315908,118.353726,70.881662,25.4,85.41,89.96,288.27,140.81,188.9,153.16,77.99,31.3,14.77,16.07,14.36,7.63,23.77,71.62,40.76,78.66,95.25,67.02,55.04,61.56,63.26,102.31,25.25,67.11,61.01,64.6,43.18,62.3,69.16,66.773,107.31,107.53,74.48,42.598,39.806,5.3439,6.6223,23.434,56.577,75.51,88.656,122.78,67.803,93.778,46.4,114.3,135.1,210.4,177.3,248.7,294.7,175.3,91.2,58.9,43.9,47.2,49.4,59.5,150.4,118.59,72.99,71.42,64.67,30.54,63.39,54.93,72.82,59.92,122.46,79.88,50.72,12.27,83.79,50.09,55.568131,102.297299,96.97242,46.815146,36.770338,29.849045,-0.460035,-0.557094,-3.454316,8.90644,39.345179,72.680868,131.01993,90.707062,87.798181,59.8,80.6,58.6,73.1,55.7,73.2,146.6,74.9,47,42.5,31.1,25.1,17.7,29.8,49.4,78.06,56.45,45.82,51.13,24.77,48.39,41.81,41.74,101.71,138.97,83.99,38.89,22,55.2,35.88,45.086695,95.777931,76.326719,49.45061,38.760983,23.579922,11.282462,6.144438,-4.234712,-4.420643,6.094554,37.538408,98.78004,88.035121,84.755841,46.71,42.34,30.99,19.75,14.31,16.72,82.17,59.11,51.26,54.53,34.24,21.81,12.66,15.36,15.63,81.97,70.43,87.62,65.19,33.54,60.32,57.47,73.44,31.78,67.79,66.67,40.03,28.59,53.35,47.1,80.728,41.809,35.992,39.0429,37.4131,36.3198,49.2183,122.8429,162.3524,206.4426,163.3659,142.3964,87.9053,40.9851,26.7159,83.66,185.87,116.08,582.94,280.57,758.88,428.73,226.5,65.14,57.24,42.31,31.09,37.34,86.37,139.89
"3",23.74,58.39,58.02,70.78,31.83,72.92,62.36,99.69,53.76,60.19,59.38,51.98,17.89,39.23,54.58,210.315908,118.353726,70.881662,28.376266,22.254472,16.101069,9.15785,9.784704,24.745313,76.604615,103.700286,171.619684,140.219749,131.446868,113.866964,7.63,23.77,71.62,103.39,65.51,133.7,60.96,91.56,47.63,22.15,16.02,8.03,7.7,18.61,30.89,43.18,62.3,69.16,63.55,43.63,90.13,56.9,117.7,43.88,60.69,63.92,85.35,19.12,45.22,59.5,122.78,67.803,93.778,84.25,65.459,35.207,17.172,10.954,21.713,63.824,70.523,102.69,64.292,71.762,106.62,49.4,59.5,150.4,133.2,136.1,241.5,171.4,234.3,91.5,54.5,56.8,42.9,34.9,44.2,108.3,12.27,83.79,50.09,55.91,64.39,65.41,69.54,70.91,78.53,72.63,55.68,73.63,26.65,40.3,58.89,131.01993,90.707062,87.798181,80.381691,49.739868,31.851731,16.888742,0.759713,-2.673794,19.794022,37.731056,91.799229,61.499123,103.658798,128.459019,17.7,29.8,49.4,39.7,40,87.5,100.8,86.8,53.5,36.7,28.7,23.8,21.1,19.3,31.3,22,55.2,35.88,56.05,49.89,52.33,51.19,107.27,108.84,82.41,86.49,76.56,21.88,51.12,63.78,98.78004,88.035121,84.755841,61.402918,32.711101,21.060364,14.888191,-0.415208,-4.392375,-3.295836,4.135235,60.471401,47.977061,93.127138,100.346055,12.66,15.36,15.63,13.02,10.41,25.31,65.67,97.42,83.13,48.62,38.07,19.29,18.42,17.28,21.58,28.59,53.35,47.1,51.34,25.35,66.58,64.27,76.7,85.12,72.82,46.57,53.54,21.25,21.28,45.02,87.9053,40.9851,26.7159,41.5128,41.9105,36.3855,70.2791,136.086,149.825,195.1139,167.5074,148.1233,84.5785,43.0239,39.2735,37.34,86.37,139.89,153.67,98.3,471.11,297.04,236.27,125.27,119.48,75.11,37.4,43.17,102.72,99.6
"4",17.89,39.23,54.58,65.05,75.95,110.63,106.66,29.56,71.55,48.54,82.61,46.51,193.14,46.29,53.75,140.219749,131.446868,113.866964,41.325071,20.220431,21.776345,3.654899,24.919141,35.411318,81.337523,125.796274,129.499606,155.289291,123.486574,86.041611,7.7,18.61,30.89,58.71,110.07,157.06,173.33,35.39,22.68,15.38,9.81,11.32,155.7,54.23,79.34,19.12,45.22,59.5,62.24,84.62,87.02,105.45,46.82,76.02,27.6,84.73,78.11,87.02,71.62,86.45,64.292,71.762,106.62,112.39,42.669,55.73,11.511,13.381,21.173,61.309,77.31,72.767,59.528,72.458,107.2,34.9,44.2,108.3,89.7,235.9,265.6,333.6,205.7,89.2,42.6,37,63.6,94.6,113.5,134.6,26.65,40.3,58.89,44.92,60.32,66.22,100.69,59.38,123.95,54.9,49.33,119.08,143.58,46.03,46.27,61.499123,103.658798,128.459019,100.367262,34.966071,58.565962,13.500602,1.274359,-2.774105,5.538067,41.108662,56.873055,64.719658,83.638185,106.286479,21.1,19.3,31.3,33.1,53.9,79.2,116.5,92.3,69.3,42.8,28.3,32.8,101.8,55.1,46.1,21.88,51.12,63.78,60.88,40.19,47.56,83.98,97.05,75.79,37.83,56.89,89.68,60.3,36.69,23.67,47.977061,93.127138,100.346055,79.330393,34.332138,49.125397,14.769615,1.464548,-4.315087,-3.404071,24.659105,46.518358,68.297621,74.674488,103.486466,18.42,17.28,21.58,14.3,14.98,19.24,86.51,133.2,77.96,34.16,21.75,22.34,28.52,22.47,15.31,21.25,21.28,45.02,48.76,100.57,105.4,81.93,17.98,71.53,27.98,46.32,51.53,185,35.94,42.4,84.5785,43.0239,39.2735,45.2,33.2597,38.8633,49.9209,137.7757,149.5531,188.7374,175.9047,128.1555,84.2894,37.4282,33.3559,43.17,102.72,99.6,175.8,856.77,933.54,806.24,237.87,112.65,63.53,47.56,42.8,558.08,66.39,212.45
"5",193.14,46.29,53.75,54.79,56.75,90.79,72.4,49.53,44.52,61.51,92.27,44.16,128.3,84.05,28.95,155.289291,123.486574,86.041611,28.499509,16.829939,19.120519,3.308995,25.907941,41.241966,77.82415,127.193916,158.54547,186.64402,177.212976,88.017489,155.7,54.23,79.34,132.32,105.48,207.44,108.6,27,19.24,13.91,10.64,8.7,30.32,45.58,29.08,87.02,71.62,86.45,39.3,52.25,102.13,56.08,53.89,22.99,42.74,108.18,46,207.59,38.73,36.42,59.528,72.458,107.2,109.71,41.117,57.174,2.985,6.3801,26.045,62.569,80.53,96.213,67.028,116.4,126.96,94.6,113.5,134.6,152.1,102,343.2,298.9,99.4,60.4,41.6,43.9,35.1,183.3,163,107.6,143.58,46.03,46.27,47.47,41.43,54.53,57.79,65.89,49.82,52.45,67.1,33.48,100,67.72,46.01,64.719658,83.638185,106.286479,78.048852,43.9175,44.670756,2.041211,2.909792,1.260971,22.253517,75.7052,84.709177,73.267064,120.490603,119.02827,101.8,55.1,46.1,45.1,34.7,70.7,117.9,57,34.2,21.4,19.1,21.1,28.2,42.4,34.6,60.3,36.69,23.67,44.48,48.94,72.81,42.62,61.25,45.17,82.02,85.75,88.75,88.16,87.84,54.52,68.297621,74.674488,103.486466,94.036377,52.224892,44.038633,4.588227,4.591444,-3.78884,-2.705249,12.958514,64.382963,56.048475,96.634044,114.669452,28.52,22.47,15.31,13.54,13.57,14.82,92.69,62.2,36.89,23.52,25.73,21.53,27.44,30.07,17.69,185,35.94,42.4,43.17,55.28,53.82,52.91,38.12,48.55,40.48,79.19,43.98,99.26,73.37,33.91,84.2894,37.4282,33.3559,45.3464,37.6938,37.8349,49.88,156.6885,156.3379,200.2097,187.1741,138.0993,86.1256,43.702,33.3399,558.08,66.39,212.45,222.22,183.97,733.78,410.05,112.87,104.02,39.01,61.57,36.76,76.07,239.67,205.79
"6",128.3,84.05,28.95,38.81,72.11,91.72,87.25,123.32,69.31,83.16,134.99,38.93,18.82,48.73,62.33,186.64402,177.212976,88.017489,58.406827,31.584099,16.841534,6.03388,11.990951,30.939535,75.161683,99.735863,170.127187,125.054943,186.452731,81.361427,30.32,45.58,29.08,6.41,71.04,179.29,110.1,158.74,38.1,14.16,21.79,7.73,11.17,8.27,51.64,207.59,38.73,36.42,42.71,62.64,79.11,92.47,104.88,35.7,71.18,104.66,66.9,24.47,46.12,55.24,67.028,116.4,126.96,87.567,46.481,50.246,11.065,4.0721,14.165,46.632,57.481,90.172,59.154,83.77,92.023,183.3,163,107.6,70.9,95.1,254.2,369,282.9,114.3,58.6,50.4,55.9,48.7,36.2,121.9,100,67.72,46.01,24.96,42.87,54.69,66.8,95.62,67.68,95.82,89.7,56.92,17.7,65.91,45.31,73.267064,120.490603,119.02827,51.938632,32.93064,26.79117,8.568704,-1.63691,-2.800066,7.102154,18.881817,69.275392,38.532615,103.275959,93.5339,28.2,42.4,34.6,30.1,28.2,54.4,109.7,120.4,49.6,44.5,35,29.2,25.7,27.7,35.6,88.16,87.84,54.52,42.96,25.64,22.9,38.62,83.76,66.67,70.63,73.75,70.21,31.2,68.51,68.21,56.048475,96.634044,114.669452,69.085322,60.117788,47.746231,24.836549,-0.17482,-4.016512,-4.557318,11.57222,50.600488,48.377618,107.595674,100.670865,27.44,30.07,17.69,16.43,11.79,9.87,54.39,93.07,54.95,44.31,24.76,22.33,17.32,17.2,12.88,99.26,73.37,33.91,27.41,55.66,74.53,98.22,140.67,80.25,57.21,156.58,30.86,13.89,40.77,46.74,86.1256,43.702,33.3399,40.6201,37.3729,37.7136,48.4761,109.648,159.9984,174.3894,161.8216,139.7173,81.5544,51.8508,24.332,76.07,239.67,205.79,138.41,199.96,1014.14,800.17,1250.61,138.65,67.04,146.11,51.49,44.23,58.02,407.5
"7",18.82,48.73,62.33,62,50.08,34.63,129.7,79.68,126.28,70.64,48.1,97.82,71.36,59.96,88.31,125.054943,186.452731,81.361427,41.006457,14.538109,19.134662,5.637942,26.949941,33.962198,72.383325,141.493511,157.870011,200.284934,147.764209,89.480414,11.17,8.27,51.64,58.8,86.03,65.13,185.01,41.55,37.1,44.79,5.67,9.95,8.23,25,99.33,24.47,46.12,55.24,69.67,43.86,33.8,70.57,79.43,98.2,68.37,19.35,83.36,34.13,52.7,79.34,59.154,83.77,92.023,102.91,37.272,35.098,14.084,11.398,16.641,55.708,87.962,79.65,78.299,89.21,92.443,48.7,36.2,121.9,126.6,120.9,201.7,183.9,129.6,80.9,67.2,38.3,36.9,26,64.7,141.8,17.7,65.91,45.31,46.26,36.96,35.05,73.31,88.14,104.79,69.89,42.06,89.43,67.08,89.97,66.23,38.532615,103.275959,93.5339,87.959746,34.776572,27.598138,10.534496,-1.906467,-4.180454,-0.616728,44.129393,61.631781,66.409937,95.177328,90.979329,25.7,27.7,35.6,30.6,34.2,55.2,86.1,80.6,50,62.1,25.5,29.1,31.7,61.3,61.3,31.2,68.51,68.21,33.59,39.96,39.44,60.12,46.14,93.03,55.32,43.77,111.14,27.18,91.5,39.65,48.377618,107.595674,100.670865,97.088851,32.61831,16.306188,9.399754,7.205516,-3.998712,-2.939691,12.72654,65.593991,64.34898,96.297348,95.771301,17.32,17.2,12.88,8.26,9.12,13.91,73.88,79.75,55.09,39.46,22.04,25.31,19.13,26.88,18.84,13.89,40.77,46.74,45.12,45.06,34.04,93.51,82.76,97.98,95.5,47.35,92.48,75.03,63.45,83.26,81.5544,51.8508,24.332,45.0222,34.2963,35.5142,48.5828,128.969,157.2563,181.4168,176.629,132.2642,82.1703,41.9258,30.206,44.23,58.02,407.5,284.7,247.62,600.67,745.19,499.98,137.5,229.04,51.71,42.98,168.59,346.11,626.19
"8",71.36,59.96,88.31,43.08,25.51,19.28,61.22,45.38,110.76,117.89,91.33,93.12,38.7,89.93,20.2,200.284934,147.764209,89.480414,42.935913,38.724802,21.852119,10.624975,35.981754,46.816573,79.405106,128.112898,148.297944,186.843867,181.022021,108.343427,8.23,25,99.33,30.46,19.54,49.44,33.66,17.34,22.34,16.57,9.06,8.63,5.56,11.59,15.64,34.13,52.7,79.34,64.85,70.99,20.77,54.58,51.73,79.62,75.26,71.54,100.76,66.12,66.04,35.86,78.299,89.21,92.443,105.63,72.939,21.98,10.708,11.128,34.25,33.08,73.043,71.698,84.522,92.579,136.17,26,64.7,141.8,95.2,71.4,216.8,216.6,130.9,93.7,49,40.2,63.5,59.1,79.5,85,67.08,89.97,66.23,39.74,28.82,18.13,37.48,35.28,68.46,72.7,63.92,85.91,55.76,73.73,45.05,66.409937,95.177328,90.979329,63.656015,48.142684,23.689453,10.062787,4.291422,-1.201769,2.437341,40.243288,43.354766,64.558957,119.589421,123.882221,31.7,61.3,61.3,45.2,32.9,57.6,64.7,37.7,32.6,37.1,24.7,28.8,26,30.6,28.8,27.18,91.5,39.65,42.85,24.38,18.22,32.77,42.79,90.05,87.8,98,80.44,42.84,93.91,46.9,64.34898,96.297348,95.771301,61.459783,46.489739,34.598518,22.976096,6.944268,-3.957889,-3.796765,18.284227,38.0707,56.151253,104.649689,115.401887,19.13,26.88,18.84,16.72,13.32,14.9,48.09,45.06,44.15,45.23,24.33,34.36,22.42,28.49,19,75.03,63.45,83.26,20.48,22.59,10.7,37.55,33.06,80.01,54.48,65.02,88.67,27.97,63.28,13.63,82.1703,41.9258,30.206,47.7953,42.1491,35.2671,50.2717,146.3321,149.2603,178.143,172.0565,133.9023,84.3489,47.9153,35.7323,168.59,346.11,626.19,235.22,202.13,438.06,367.94,124.17,83.73,63.63,52.7,47.3,62.14,173.87,74
"9",38.7,89.93,20.2,106.79,80.36,69.67,96.35,76.31,46.48,73.4,64.41,68.4,119.63,78.37,71.18,186.843867,181.022021,108.343427,40.74543,21.01975,19.462657,9.100079,23.942312,50.269003,103.122914,121.218031,186.962875,200.022518,162.262981,69.672921,5.56,11.59,15.64,91.81,142.8,124.42,102.01,50.4,9.19,6.39,5.46,5.05,18.76,35.71,101.5,66.12,66.04,35.86,90.05,72.99,54.84,64.82,54.51,38.33,78.77,71.02,50.52,123.26,77.44,91.8,84.522,92.579,136.17,91.144,57.973,39.797,7.7317,0.34249,7.676,30.125,54.213,96.412,98.608,100.01,86.834,59.1,79.5,85,112.8,119.3,228.6,393.9,143.2,52,44.2,33.9,29.3,101.3,126,221.2,55.76,73.73,45.05,56.93,57.97,58.21,78.84,83.23,38.34,72.13,113.93,102.13,114.96,79.32,66.02,64.558957,119.589421,123.882221,60.519287,26.529059,11.873758,1.017944,-2.787993,-2.92062,10.697672,11.922867,68.739786,71.950102,95.170992,69.203737,26,30.6,28.8,26.7,28.8,67.5,157.4,101.2,40.7,28.6,28.4,29.1,53,69.6,62.1,42.84,93.91,46.9,32.94,26.58,31.31,34.26,107.37,64.44,57.41,146.13,122.07,83.3,50.99,37.41,56.151253,104.649689,115.401887,75.822003,31.876394,26.393346,13.182759,-1.220556,-4.41876,-3.329467,-8.360785,32.311535,71.283861,116.901411,85.540324,22.42,28.49,19,13.72,12.32,14.97,48.98,93.16,55.95,29.61,32.31,35.1,40.82,25.98,19.26,27.97,63.28,13.63,76.26,55.42,59.41,89.58,86.27,33.95,78.28,100.76,53.17,114.03,63.97,72.94,84.3489,47.9153,35.7323,38.6852,35.9753,37.3462,47.7427,74.3648,165.1855,190.0751,171.1223,144.3001,86.1976,40.7973,24.4255,62.14,173.87,74,304.68,326.63,1116.8,1286.53,377.53,131.83,53.94,56.75,49.78,235.3,375.09,664.49
"10",119.63,78.37,71.18,77.39,66.69,32.59,54.86,88.65,93.09,65.36,62.23,28.96,39.12,42.45,24.23,200.022518,162.262981,69.672921,33.767371,28.819055,22.701149,4.614713,10.769794,28.397147,70.295462,98.629581,139.733869,197.231152,139.288497,123.593965,18.76,35.71,101.5,114.98,87.35,58.98,103.62,68.01,60.73,24.23,11.85,7.35,6.53,13.48,10.7,123.26,77.44,91.8,70.6,103.19,36.11,72.49,103.11,76.1,39.61,49.33,18.36,57.36,40.85,28.09,98.608,100.01,86.834,89.321,51.418,57.698,5.4379,-1.6008,3.9447,43.077,62.584,73.619,91.345,71.156,141.3,101.3,126,221.2,143.7,176.8,133.3,469.6,220.3,116,56.3,39,28.3,34,50,43.5,114.96,79.32,66.02,65.09,56.11,37.14,82.66,130.15,96.6,78.4,63.17,72.7,53.2,69.57,30.91,71.950102,95.170992,69.203737,59.755766,36.07662,29.915786,0.077438,-7.46759,-5.601976,-6.712292,21.315188,59.755902,79.662695,86.995144,125.749568,53,69.6,62.1,56,44.9,49.3,168.3,174.3,75.3,55.7,33.8,29.3,23.3,45,34.2,83.3,50.99,37.41,47.64,29.82,25.27,104.13,85.85,62.85,64.77,73.7,71.91,56.81,80.67,36.39,71.283861,116.901411,85.540324,69.051845,52.771925,39.316341,8.214442,-0.946987,-4.105922,-4.278707,10.78111,54.233239,74.340488,83.539008,121.739997,40.82,25.98,19.26,15.77,9.69,9.74,88.09,125.4,53.74,34.85,23.62,18.68,15.55,31.12,18.29,114.03,63.97,72.94,67.39,51.75,36.15,75.94,73.98,105.15,37.1,46.74,26.22,38.22,33.38,14.81,86.1976,40.7973,24.4255,42.1835,41.1607,39.3635,48.2143,107.3106,152.4265,189.2418,165.7953,140.8043,84.7437,40.7263,44.3742,235.3,375.09,664.49,190.38,305.75,486.15,1452.43,534.26,243.26,43.52,41.62,36.65,42.11,57.96,38.5
"11",39.12,42.45,24.23,16.98,78.76,80.84,144.39,48.75,85.17,81.81,89.15,79.51,39.51,60.97,45.55,197.231152,139.288497,123.593965,32.339063,14.202092,18.755169,3.387514,19.606308,32.948103,60.485316,109.179326,152.084086,187.34909,159.096243,112.096674,6.53,13.48,10.7,24.02,90.96,124.18,191.45,65.66,33.38,14.8,9.95,8.28,6.49,18.61,20.35,57.36,40.85,28.09,27.41,73.33,54.63,100.25,72.19,96.41,75.58,65.04,25.56,40.48,59.79,52.8,91.345,71.156,141.3,97.009,29.297,34.172,11.256,2.9623,9.9461,25.361,65.707,79.978,81.951,87.196,112.02,34,50,43.5,45.3,100.6,237.4,247.5,178.8,114.9,58.6,36.8,32.7,26.8,56.5,88.8,53.2,69.57,30.91,23.82,38.5,64.22,57.19,43.28,84.05,77.85,64.2,142.46,53.34,61.48,53.33,79.662695,86.995144,125.749568,71.704251,31.176407,33.074623,10.302262,2.172376,-2.78562,7.280619,31.801097,56.362315,50.880812,98.805576,111.928505,23.3,45,34.2,26.4,30.4,64,81.1,64.7,44.4,34.6,27,38.6,40,47.4,42.7,56.81,80.67,36.39,24.99,44.02,51.04,42.22,68.26,45.54,62.29,48.91,123.7,56.82,56.15,52.99,74.340488,83.539008,121.739997,68.120155,25.991368,28.181551,18.540809,6.925515,-3.778478,-2.46195,22.932766,64.412548,55.429472,101.164879,99.758511,15.55,31.12,18.29,13.85,13.31,20.52,58.92,75.87,42.81,23.59,16.8,25.66,32.44,31.16,22.92,38.22,33.38,14.81,11.24,53.78,56.48,102.84,55.83,81.03,83.88,104.44,69.06,35.74,53.98,28.55,84.7437,40.7263,44.3742,39.6842,33.9947,35.6755,49.4248,108.7588,147.9923,183.8574,165.4898,150.5181,82.3148,44.0098,35.8322,42.11,57.96,38.5,63.38,144.35,499.47,611.21,330.45,97.9,52.85,62.75,45.16,49.49,143.09,179.45
